Country,ISO3,Year,Stunting_Prevalence,Overweight_Prevalence,Stunting_Risk,Overweight_Risk,GDP_per_Capita,Poverty_Rate,Fertility_Rate,Urban_Population_Percent,Female_Literacy_Rate,Male_Literacy_Rate
Benin,BEN,2021,32.6,2.5,2,0,1318.65158075198,27.2,4.707,50.1961807561354,33.1300010681152,56.4599990844727
Bhutan,BTN,2012,29.1,7.1,1,0,2751.2128864294,3.6,2.068,35.0188644248365,45.2000007629395,66.0
Bhutan,BTN,2017,22.3,8.1,1,0,3435.28804735662,2.6,1.621,37.8645544995016,57.0800018310547,75.0199966430664
Bhutan,BTN,2022,18.4,8.2,0,0,3711.32767981591,0.0,1.478,40.9365143617581,57.0,73.3899993896484
Brazil,BRA,2004,7.7,6.6,0,0,3663.82262497811,15.3,1.973,82.6816824814559,88.8099975585938,88.4100036621094
Brazil,BRA,2006,7.2,6.8,0,0,5934.14561857454,11.4,1.896,83.2672101364439,89.8600006103516,89.3499984741211
Brazil,BRA,2007,7.0,7.0,0,0,7409.69003822861,10.8,1.854,83.5382571292649,90.2300033569336,89.7699966430664
Brazil,BRA,2008,6.9,7.1,0,0,8908.33338467948,9.1,1.815,83.8036050557184,90.2200012207031,89.8399963378906
Brazil,BRA,2009,6.8,7.2,0,0,8678.6584730653,8.4,1.799,84.0698380333651,90.4100036621094,90.1699981689453
Brazil,BRA,2011,6.6,7.5,0,0,13396.6263158041,7.1,1.777,84.6225758599683,91.629997253418,91.1699981689453
Brazil,BRA,2012,6.6,7.7,0,0,12521.7238454434,6.4,1.766,84.8973874181312,91.620002746582,91.0299987792969
Brazil,BRA,2013,6.7,7.9,0,0,12458.8903396625,5.4,1.761,85.1676585442726,91.7600021362305,91.1800003051758
Brazil,BRA,2014,6.8,8.1,0,0,12274.9941630213,4.7,1.775,85.4331367898168,92.0599975585938,91.370002746582
Brazil,BRA,2015,6.9,8.3,0,0,8936.1955889444,5.4,1.777,85.6935697061881,92.3399963378906,91.7300033569336
Brazil,BRA,2016,7.1,8.5,0,0,8836.28546025694,6.5,1.727,85.9487048448108,93.0199966430664,92.5800018310547
Brazil,BRA,2017,7.3,8.7,0,0,10080.5078722821,6.9,1.74,86.1982897571091,93.2399978637695,92.8899993896484
Brazil,BRA,2018,7.5,9.0,0,0,9300.66072904004,6.9,1.744,86.4420719945072,93.4300003051758,93.0100021362305
Brazil,BRA,2019,7.7,9.2,0,0,9029.83304401079,7.0,1.705,86.6797991084296,94.1614917282617,93.624114176131
Brazil,BRA,2020,8.0,9.5,0,0,7074.19407495707,2.8,1.653,86.9112186503004,94.9873110186147,94.511806797444
Brazil,BRA,2021,8.2,9.8,0,0,7972.53696080695,7.5,1.638,87.1360781715439,95.0467415689225,94.5045379913135
Brazil,BRA,2022,8.5,10.1,0,1,9281.33282136864,4.9,1.629,87.349556243881,94.6596761849819,94.091356038064
Brazil,BRA,2023,8.7,10.5,0,1,10377.5897719195,3.8,1.619,87.6159710235763,94.8781414001563,94.2688531623673
Bulgaria,BGR,2001,8.7,10.3,0,1,1770.90704918691,4.7,1.21,69.196711983564,97.7099990844727,98.7399978637695
Bulgaria,BGR,2011,7.4,6.9,0,0,7849.58061302818,3.4,1.51,72.6101653885532,97.9800033569336,98.75
Burkina Faso,BFA,2003,40.7,1.6,2,0,362.373899996953,69.6,6.28,20.563327262892,15.1899995803833,29.3600006103516
Burkina Faso,BFA,2014,28.7,1.0,1,0,764.861675106225,58.7,5.595,25.3814155996643,26.2199993133545,44.3800010681152
Burkina Faso,BFA,2018,23.0,1.2,1,0,777.465618514048,47.7,4.921,26.0832202154822,31.0400009155273,49.1699981689453
Burkina Faso,BFA,2021,20.4,1.7,1,0,895.535288442991,42.1,4.361,26.8114307743017,31.0300006866455,44.1199989318848
Burundi,BDI,2020,53.4,1.9,2,0,255.8324539389,74.2,5.177,19.9309984273971,66.2354865947952,78.1656333672969
Cabo Verde,CPV,2015,7.2,5.5,0,0,3415.06266730931,14.6,1.968,66.9045094767116,82.0400009155273,91.6900024414062
Cameroon,CMR,2007,36.0,8.9,2,0,1325.67248215933,36.0,5.343,49.7027028593758,63.0200004577637,78.9499969482422
Chile,CHL,2011,1.9,10.1,0,1,14487.3927832032,1.7,1.823,87.0109164653326,96.5299987792969,96.9000015258789
Chile,CHL,2013,1.8,9.7,0,0,15683.5486369155,0.8,1.786,87.1827777654221,96.1600036621094,96.3899993896484
Chile,CHL,2015,1.8,9.4,0,0,13433.9202987032,0.7,1.737,87.4653320342387,96.7399978637695,97.0199966430664
Chile,CHL,2017,1.7,9.1,0,0,14879.9086227187,0.5,1.563,87.8000295757281,96.3300018310547,96.4800033569336
China,CHN,2010,8.8,6.7,0,0,4629.24551710077,20.6,1.687,49.2340270628041,92.7099990844727,97.4800033569336
China,CHN,2020,5.0,8.9,0,0,10627.4637989619,0.0,1.236,63.5234230266258,95.0500030517578,98.379997253418
Colombia,COL,2004,16.2,4.7,0,0,2818.57195413044,19.2,2.384,75.8080569479496,92.7099990844727,92.9000015258789
Colombia,COL,2005,15.8,4.7,0,0,3456.06610874512,16.8,2.309,76.004938901378,92.9100036621094,92.7799987792969
Colombia,COL,2008,14.1,4.8,0,0,5541.83629665898,16.6,2.155,76.4596761810047,93.4400024414062,93.3199996948242
Colombia,COL,2009,13.6,4.9,0,0,5250.97292433518,15.0,2.096,76.5964145836792,93.4199981689453,93.0599975585938
Colombia,COL,2010,13.2,4.9,0,0,6398.2958447102,13.1,2.01,76.7232975672119,93.4899978637695,93.25
Colombia,COL,2011,12.9,5.0,0,0,7400.9940695669,11.2,1.938,76.839003613206,93.6699981689453,93.4899978637695
Colombia,COL,2014,12.4,5.2,0,0,8187.20824890084,9.0,1.822,77.1058449419909,94.4800033569336,93.870002746582
Colombia,COL,2015,12.3,5.3,0,0,6248.51490534512,8.1,1.771,77.1636280538646,94.4199981689453,94.0599975585938
Colombia,COL,2016,12.1,5.4,0,0,5959.84250367574,8.0,1.719,77.2036266362166,94.8899993896484,94.4000015258789
Colombia,COL,2017,11.8,5.5,0,0,6479.53231292429,7.3,1.717,77.2245191706503,95.061551346437,94.7283092098286
Colombia,COL,2018,11.6,5.6,0,0,6816.96818309544,7.4,1.715,77.2804816598084,95.3199996948242,94.8499984741211
Colombia,COL,2019,11.3,5.8,0,0,6472.54544924705,8.8,1.71,77.4595528518377,95.4700012207031,95.0199966430664
Colombia,COL,2020,11.2,5.9,0,0,5339.68711357943,13.5,1.694,77.6382533537045,95.879997253418,95.379997253418
Colombia,COL,2021,11.2,6.1,0,0,6222.62164397614,11.2,1.68,77.8339570326128,95.8362311838969,95.4864009724528
Colombia,COL,2022,11.3,6.3,0,0,6680.44506854481,9.3,1.663,78.0464633137335,95.4931703908354,95.1198040520605
Colombia,COL,2023,11.4,6.5,0,0,7000.83660501046,7.7,1.645,78.275571579544,95.6179317373144,95.2945175859087
Comoros,COM,2014,28.5,8.7,1,0,1615.71723662012,31.4,4.489,30.0302906552932,70.3678151865526,78.0351425252311
Costa Rica,CRI,2000,7.1,7.9,0,0,3812.75388284924,9.8,2.413,59.0462378975394,95.0800018310547,94.6500015258789
Costa Rica,CRI,2011,6.5,7.6,0,0,9276.39107511347,2.7,1.877,72.8426586679914,97.5,97.3099975585938
Dominican Republic,DOM,2002,9.5,7.3,0,0,3065.60329524196,9.0,2.764,63.2914022524877,87.1800003051758,86.8099975585938
Dominican Republic,DOM,2007,8.7,7.7,0,0,4649.64558875814,7.8,2.51,71.0193434994977,88.2799987792969,88.2099990844727
Dominican Republic,DOM,2010,8.4,7.7,0,0,5478.62470398954,5.5,2.556,74.1642773174177,89.6999969482422,89.379997253418
Dominican Republic,DOM,2011,8.2,7.7,0,0,5826.51014109195,5.3,2.527,74.2440389501301,90.2300033569336,89.9899978637695
Dominican Republic,DOM,2012,8.0,7.7,0,0,6013.81965002603,5.4,2.497,74.2398679969568,90.2200012207031,90.0800018310547
Dominican Republic,DOM,2013,7.9,7.7,0,0,6136.59429329301,4.4,2.474,74.2251359951216,91.25,90.4599990844727
Dominican Republic,DOM,2014,7.7,7.6,0,0,6496.45166971142,4.1,2.451,74.1931533822153,92.1500015258789,91.370002746582
Dominican Republic,DOM,2015,7.5,7.6,0,0,6800.95309395474,3.3,2.43,74.1372305958285,92.3199996948242,91.6500015258789
Dominican Republic,DOM,2016,7.4,7.6,0,0,7160.44200982307,3.0,2.41,74.0506780735522,93.7600021362305,93.7900009155273
Dominican Republic,DOM,2017,7.1,7.5,0,0,7412.71571571512,1.5,2.398,73.926806252977,93.0700077235625,93.4315229332502
Dominican Republic,DOM,2018,6.9,7.5,0,0,7882.98221584944,1.1,2.397,73.7589255716938,93.5035536566373,93.4368217632503
Dominican Republic,DOM,2019,6.5,7.5,0,0,8183.01623600375,1.0,2.366,73.5403464672933,87.370002746582,93.6136998037693
Dominican Republic,DOM,2020,6.3,7.5,0,0,7135.22273255899,1.3,2.329,73.2643793773663,93.6960474261224,93.81268564515
Dominican Republic,DOM,2021,6.1,7.5,0,0,8527.0754858205,1.3,2.294,72.9243347395035,93.5753635458374,93.9622883292031
Dominican Republic,DOM,2022,5.9,7.5,0,0,10104.2449349081,1.0,2.267,72.4203155643711,93.7317585041963,93.7533431482917
Dominican Republic,DOM,2023,5.7,7.5,0,0,10630.431743829,1.3,2.243,72.3577991823338,94.2090955726087,94.4929175300518
Ecuador,ECU,2007,28.9,5.6,1,0,3478.92488770671,10.9,2.704,62.3887552077227,90.870002746582,93.3899993896484
Ecuador,ECU,2008,28.6,5.9,1,0,4194.75750661981,9.8,2.688,62.5395521004212,91.120002746582,93.75
Ecuador,ECU,2009,27.9,6.2,1,0,4053.36331139298,9.3,2.678,62.6588021150118,90.9199981689453,93.6600036621094
Ecuador,ECU,2010,26.9,6.5,1,0,4520.30959039763,7.8,2.615,62.7405258611644,90.4700012207031,93.3199996948242
Ecuador,ECU,2011,25.6,6.7,1,0,5153.6916424375,6.4,2.605,62.7949053547691,90.2200012207031,93.0500030517578
Ecuador,ECU,2012,24.3,6.9,1,0,5634.08393191094,6.0,2.509,62.8408732819135,90.9499969482422,93.25
Ecuador,ECU,2013,23.1,7.1,1,0,6109.29031510341,4.5,2.362,62.8837286624122,92.2200012207031,94.4300003051758
Ecuador,ECU,2014,22.1,7.2,1,0,6405.79979300441,4.0,2.274,62.9232432195799,93.25,95.2600021362305
Ecuador,ECU,2015,21.5,7.2,1,0,5976.1596805651,4.8,2.209,62.959188676731,93.2600021362305,95.7300033569336
Ecuador,ECU,2016,21.1,7.2,1,0,5917.63771271481,5.0,2.122,62.9913367571804,93.3099975585938,95.4499969482422
Ecuador,ECU,2017,20.5,7.0,1,0,6233.32244797718,4.3,2.128,63.0194591842425,92.0899963378906,93.7799987792969
Ecuador,ECU,2020,18.8,6.3,0,0,5463.64515348598,8.4,1.967,63.0773897782521,92.4899978637695,94.8099975585938
Ecuador,ECU,2021,18.3,6.0,0,0,6061.32350181711,5.3,1.909,63.0871268249117,94.0500030517578,94.9400024414062
Ecuador,ECU,2022,18.1,5.6,0,0,6515.58528418336,4.4,1.861,63.0901835932266,95.7200012207031,96.8499984741211
El Salvador,SLV,2006,22.4,5.4,1,0,2665.61807194853,12.6,2.395,61.9068679391763,81.0,86.6999969482422
El Salvador,SLV,2007,21.2,5.5,1,0,2830.65693770733,9.2,2.354,62.7676878093683,79.6600036621094,84.8600006103516
El Salvador,SLV,2008,19.9,5.7,0,0,2983.24829577976,12.6,2.291,63.6372503452723,81.3600006103516,87.0500030517578
El Salvador,SLV,2009,18.6,5.9,0,0,2910.18651752011,12.4,2.261,64.5299047495248,81.8199996948242,86.8300018310547
El Salvador,SLV,2010,17.4,6.1,0,0,3040.07300952878,11.4,2.239,65.4327927543162,82.3099975585938,87.0999984741211
El Salvador,SLV,2011,16.3,6.3,0,0,3330.60049486653,10.1,2.224,66.334413642034,83.0199966430664,88.3899993896484
El Salvador,SLV,2012,15.5,6.5,0,0,3497.91256915509,8.5,2.187,67.2232666950659,82.887464205326,88.5394780297151
El Salvador,SLV,2013,14.6,6.6,0,0,3582.26694005169,7.1,2.154,68.0878511957995,84.6699981689453,89.2399978637695
El Salvador,SLV,2014,13.9,6.8,0,0,3666.01248913873,7.0,2.126,68.9166664266223,85.5328919936255,89.6631378851437
El Salvador,SLV,2015,13.1,7.0,0,0,3790.34089108162,5.3,2.067,69.6982116699219,86.2200012207031,90.0100021362305
El Salvador,SLV,2016,12.3,7.2,0,0,3901.34014965811,5.8,1.965,70.3990173339844,86.3300018310547,90.3000030517578
El Salvador,SLV,2017,11.6,7.4,0,0,4020.12671373919,4.5,1.896,71.0856704711914,86.6699981689453,90.629997253418
El Salvador,SLV,2018,11.1,7.5,0,0,4183.54620971358,4.1,1.849,71.7577209472656,87.2300033569336,91.0999984741211
El Salvador,SLV,2019,10.7,7.7,0,0,4320.11671534627,3.0,1.838,72.4148941040039,87.3199996948242,91.3099975585938
El Salvador,SLV,2021,10.0,8.0,0,0,4642.60743101342,5.1,1.803,73.6838531494141,87.3051155907052,91.1837173897014
El Salvador,SLV,2022,9.9,8.1,0,0,5074.60210221806,5.2,1.785,74.1465021298679,87.5882470092533,91.5390566533592
El Salvador,SLV,2023,9.7,8.3,0,0,5365.44491399171,4.6,1.775,74.6080675149903,88.3499984741211,91.6900024414062
Estonia,EST,2000,2.1,4.6,0,0,4070.60902410208,3.0,1.36,67.385529072627,99.7600021362305,99.7799987792969
